dataset_name,domain,question,answer
medalpaca/medical_meadow_wikidoc,medical,What is the medical treatment for Listeriosis?,"▸ Click on the following categories to expand treatment regimens.
L. monocytogenes Infections ▸ Bacteremia ▸ Brain Abscess ▸ Endocarditis ▸ Gastroenteritis ▸ Meningitis ▸ Rhombencephalitis Listeria monocytogenes, Bacteremia ¶ Preferred Regimen ▸ Ampicillin 2 g IV q4h OR ▸ Penicillin G 4 MU IV q4h PLUS ▸ Gentamicin 2 mg/kg IV load, then 1.7 mg/kg IV q8h Alternative Regimen ▸ TMP/SMZ 10—20 mg/kg/day IV q6—12h (TMP component) OR ▸ Meropenem 2 g IV q8h ¶ Minimum duration of therapy: 2 weeks Listeria monocytogenes, Brain Abscess † Preferred Regimen ▸ Ampicillin 2 g IV q4h OR ▸ Penicillin G 4 MU IV q4h PLUS ▸ Gentamicin 2 mg/kg IV load, then 1.7 mg/kg IV q8h Alternative Regimen ▸ TMP/SMZ 10—20 mg/kg/day IV q6—12h (TMP component) OR ▸ Meropenem 2 g IV q8h † Minimum duration of therapy: 6 weeks Listeria monocytogenes, Endocarditis § Preferred Regimen ▸ Ampicillin 2 g IV q4h OR ▸ Penicillin G 4 MU IV q4h PLUS ▸ Gentamicin 2 mg/kg IV load, then 1.7 mg/kg IV q8h Alternative Regimen ▸ TMP/SMZ 10—20 mg/kg/day IV q6—12h (TMP component) OR ▸ Meropenem 2 g IV q8h § Minimum duration of therapy: 4—6 weeks Listeria monocytogenes, Gastroenteritis Preferred Regimen ▸ Antimicrobial therapy is not warranted in most cases. Alternative Regimen (For Outbreaks and Invasive Diseases) ▸ Ampicillin 500 mg PO q6h x 5 days OR ▸ TMP/SMZ 160/800 mg PO q12h x 5 days Listeria monocytogenes, Meningitis ‡ Preferred Regimen ▸ Ampicillin 2 g IV q4h OR ▸ Penicillin G 4 MU IV q4h PLUS ▸ Gentamicin 2 mg/kg IV load, then 1.7 mg/kg IV q8h Alternative Regimen ▸ TMP/SMZ 10—20 mg/kg/day IV q6—12h (TMP component) OR ▸ Meropenem 2 g IV q8h ‡ Minimum duration of therapy: 3 weeks Listeria monocytogenes, Rhombencephalitis † Preferred Regimen ▸ Ampicillin 2 g IV q4h OR ▸ Penicillin G 4 MU IV q4h PLUS ▸ Gentamicin 2 mg/kg IV load, then 1.7 mg/kg IV q8h Alternative Regimen ▸ TMP/SMZ 10—20 mg/kg/day IV q6—12h (TMP component) OR ▸ Meropenem 2 g IV q8h † Minimum duration of therapy: 6 weeks"
medalpaca/medical_meadow_wikidoc,medical,Which imaging technique is utilized for the detection of a brain tumor: echocardiography or ultrasound?,There are no ultrasound findings associated with brain tumors.
medalpaca/medical_meadow_wikidoc,medical,What is the explanation for the existence of confusion and factors that increase the risk?,"Increasing age, admission to the hospital, post-surgical status, alcoholism, and underlying brain lesions are common risk factors in the development of confusion."
medalpaca/medical_meadow_wikidoc,medical,What exactly is tongue cancer?,Tongue cancer is caused by a point mutation in the tumor suppressor gene (TP53). The other oncogenes associated with oral squamous cell cancers of tongue include c-myc and erb -b1.
medalpaca/medical_meadow_wikidoc,medical,"Could you provide me with a proper English rephrased version of ""What is an overview of insulin resistance?""? The sentence already appears to be proper English.","Insulin resistance is the condition in which normal amounts of insulin are inadequate to produce a normal insulin response from fat, muscle and liver cells. Insulin resistance in fat cells results in hydrolysis of stored triglycerides, which elevates free fatty acids in the blood plasma. Insulin resistance in muscle reduces glucose uptake whereas insulin resistance in liver reduces glucose storage, with both effects serving to elevate blood glucose. High plasma levels of insulin and glucose due to insulin resistance often lead to metabolic syndrome and type 2 diabetes.
Insulin resistance could be the earliest predictor of Diabetes Mellitus type 2. Obesity, especially fat accumulation on the abdominal and intra-abdominal visceral area, and insulin resistance are linked to series of complications such as cardiovascular disease or CVD and type 2 diabetes."
medalpaca/medical_meadow_wikidoc,medical,What is the prevalence of histiocytosis in Faisalabad?,Moynihan et al. described Faisalabad histiocytosis in a Pakistani family. It was named after the family's place of origin.
medalpaca/medical_meadow_wikidoc,medical,"During a physical examination, what indications would suggest the presence of junctional bradycardia?",The pulse is regular at a rate of 40 to 60 beats per minute. Tachypnea may be present Elevated JVP may be seen if heart failure is present. Cannon a waves may be present if there is delayed atrial contraction against a closed tricuspid valve S3 gallop may be heard in the presence of heart failure.
medalpaca/medical_meadow_wikidoc,medical,What is the underlying process or mechanism that causes acute cholecystitis?,"On gross pathology, acute cholecystitis has the following features:      Enlarged/distended gallbladder Serosal or mucosal exudates Thickened wall with hemorrhage and edema Ulcers, pus, bile, and gallstones"
medalpaca/medical_meadow_wikidoc,medical,What is the historical background of Biliary cystadenoma and cystadenocarcinoma?,"In between 1922 –1956, 4,271 cholecystectomy samples were collected and adenocarcinomas were noted.  In between 1962–1999, Stephen et al was to discover the association between calcium deposits and the development of gallbladder cancer is 7%."
medalpaca/medical_meadow_wikidoc,medical,What are the laboratory results for a patient with patent ductus arteriosus?,Polycythemia may be present if the child has any other congenital heart disease. Hypoxemia or hypercarbia may be present.
